Date_Tableau,Date_PB,Date_Exp,Weekday,Weekend,Weekend2,Saturday,Sunday,Value
7-Feb-18,07-02-2018,2018-02-07,4,0,0,0,0,4755.36632
8-Feb-18,08-02-2018,2018-02-08,5,0,0,0,0,6257.66076
9-Feb-18,09-02-2018,2018-02-09,6,0,0,0,0,5207.68024
10-Feb-18,10-02-2018,2018-02-10,7,1,1,1,0,6879.52539
11-Feb-18,11-02-2018,2018-02-11,1,1,2,0,1,4957.51071
12-Feb-18,12-02-2018,2018-02-12,2,0,0,0,0,5348.61035
13-Feb-18,13-02-2018,2018-02-13,3,0,0,0,0,5974.29074
14-Feb-18,14-02-2018,2018-02-14,4,0,0,0,0,8562.62914
15-Feb-18,15-02-2018,2018-02-15,5,0,0,0,0,11644.26953
16-Feb-18,16-02-2018,2018-02-16,6,0,0,0,0,14032.36881
17-Feb-18,17-02-2018,2018-02-17,7,1,1,1,0,9965.89279
18-Feb-18,18-02-2018,2018-02-18,1,1,2,0,1,17125.54185
19-Feb-18,19-02-2018,2018-02-19,2,0,0,0,0,8734.54263
20-Feb-18,20-02-2018,2018-02-20,3,0,0,0,0,11740.98607
21-Feb-18,21-02-2018,2018-02-21,4,0,0,0,0,11650.21563
22-Feb-18,22-02-2018,2018-02-22,5,0,0,0,0,8529.96575
23-Feb-18,23-02-2018,2018-02-23,6,0,0,0,0,7617.58837
24-Feb-18,24-02-2018,2018-02-24,7,1,1,1,0,7020.53427
25-Feb-18,25-02-2018,2018-02-25,1,1,2,0,1,7124.95653
26-Feb-18,26-02-2018,2018-02-26,2,0,0,0,0,3073.81703
27-Feb-18,27-02-2018,2018-02-27,3,0,0,0,0,2255.49758
28-Feb-18,28-02-2018,2018-02-28,4,0,0,0,0,2886.43359
1-Mar-18,01-03-2018,2018-03-01,5,0,0,0,0,3766.23695
2-Mar-18,02-03-2018,2018-03-02,6,0,0,0,0,4636.21119
3-Mar-18,03-03-2018,2018-03-03,7,1,1,1,0,5325.46445
4-Mar-18,04-03-2018,2018-03-04,1,1,2,0,1,11439.04072
5-Mar-18,05-03-2018,2018-03-05,2,0,0,0,0,5705.3242
6-Mar-18,06-03-2018,2018-03-06,3,0,0,0,0,6119.74375
7-Mar-18,07-03-2018,2018-03-07,4,0,0,0,0,5340.30144
8-Mar-18,08-03-2018,2018-03-08,5,0,0,0,0,3360.90998
9-Mar-18,09-03-2018,2018-03-09,6,0,0,0,0,3738.46339
10-Mar-18,10-03-2018,2018-03-10,7,1,1,1,0,5199.74601
11-Mar-18,11-03-2018,2018-03-11,1,1,2,0,1,7389.89408
12-Mar-18,12-03-2018,2018-03-12,2,0,0,0,0,5499.68332
13-Mar-18,13-03-2018,2018-03-13,3,0,0,0,0,4655.81331
14-Mar-18,14-03-2018,2018-03-14,4,0,0,0,0,5406.41409
15-Mar-18,15-03-2018,2018-03-15,5,0,0,0,0,4101.39012
16-Mar-18,16-03-2018,2018-03-16,6,0,0,0,0,3684.49627
17-Mar-18,17-03-2018,2018-03-17,7,1,1,1,0,6721.70676
18-Mar-18,18-03-2018,2018-03-18,1,1,2,0,1,10407.20863
19-Mar-18,19-03-2018,2018-03-19,2,0,0,0,0,3550.82769
20-Mar-18,20-03-2018,2018-03-20,3,0,0,0,0,3926.3117
21-Mar-18,21-03-2018,2018-03-21,4,0,0,0,0,5294.29068
22-Mar-18,22-03-2018,2018-03-22,5,0,0,0,0,4881.69093
23-Mar-18,23-03-2018,2018-03-23,6,0,0,0,0,4351.44003
24-Mar-18,24-03-2018,2018-03-24,7,1,1,1,0,4217.95926
25-Mar-18,25-03-2018,2018-03-25,1,1,2,0,1,9141.97932
26-Mar-18,26-03-2018,2018-03-26,2,0,0,0,0,3369.16662
27-Mar-18,27-03-2018,2018-03-27,3,0,0,0,0,5751.55604
28-Mar-18,28-03-2018,2018-03-28,4,0,0,0,0,7338.68241
29-Mar-18,29-03-2018,2018-03-29,5,0,0,0,0,5154.38008
30-Mar-18,30-03-2018,2018-03-30,6,0,0,0,0,5974.04198
31-Mar-18,31-03-2018,2018-03-31,7,1,1,1,0,6338.08255
1-Apr-18,01-04-2018,2018-04-01,1,1,2,0,1,11928.0493
2-Apr-18,02-04-2018,2018-04-02,2,0,0,0,0,9587.96543
3-Apr-18,03-04-2018,2018-04-03,3,0,0,0,0,5010.1345
4-Apr-18,04-04-2018,2018-04-04,4,0,0,0,0,6650.87046
5-Apr-18,05-04-2018,2018-04-05,5,0,0,0,0,5124.63656
6-Apr-18,06-04-2018,2018-04-06,6,0,0,0,0,8907.85778
7-Apr-18,07-04-2018,2018-04-07,7,1,1,1,0,5104.81388
8-Apr-18,08-04-2018,2018-04-08,1,1,2,0,1,6884.17487
9-Apr-18,09-04-2018,2018-04-09,2,0,0,0,0,9113.37776
10-Apr-18,10-04-2018,2018-04-10,3,0,0,0,0,6437.61456
11-Apr-18,11-04-2018,2018-04-11,4,0,0,0,0,4554.39815
12-Apr-18,12-04-2018,2018-04-12,5,0,0,0,0,6106.19431
13-Apr-18,13-04-2018,2018-04-13,6,0,0,0,0,9164.78119
14-Apr-18,14-04-2018,2018-04-14,7,1,1,1,0,9411.76453
15-Apr-18,15-04-2018,2018-04-15,1,1,2,0,1,8695.74641
16-Apr-18,16-04-2018,2018-04-16,2,0,0,0,0,5061.67835
17-Apr-18,17-04-2018,2018-04-17,3,0,0,0,0,6456.21832
18-Apr-18,18-04-2018,2018-04-18,4,0,0,0,0,9030.35714
19-Apr-18,19-04-2018,2018-04-19,5,0,0,0,0,9388.75845
20-Apr-18,20-04-2018,2018-04-20,6,0,0,0,0,6478.54596
21-Apr-18,21-04-2018,2018-04-21,7,1,1,1,0,9708.78689
22-Apr-18,22-04-2018,2018-04-22,1,1,2,0,1,7623.66542
23-Apr-18,23-04-2018,2018-04-23,2,0,0,0,0,6395.79189
24-Apr-18,24-04-2018,2018-04-24,3,0,0,0,0,6404.54009
25-Apr-18,25-04-2018,2018-04-25,4,0,0,0,0,10380.90125
26-Apr-18,26-04-2018,2018-04-26,5,0,0,0,0,6421.08121
27-Apr-18,27-04-2018,2018-04-27,6,0,0,0,0,7194.23326
28-Apr-18,28-04-2018,2018-04-28,7,1,1,1,0,9246.69944
29-Apr-18,29-04-2018,2018-04-29,1,1,2,0,1,11269.64313
30-Apr-18,30-04-2018,2018-04-30,2,0,0,0,0,11639.624
1-May-18,01-05-2018,2018-05-01,3,0,0,0,0,10750.28176
