Date,Label,Traffic Volume in MB
23/09/2018,Holt's Linear Method,12479.57087
24/09/2018,Holt's Linear Method,12204.96427
25/09/2018,Holt's Linear Method,12089.96196
26/09/2018,Holt's Linear Method,14589.35106
27/09/2018,Holt's Linear Method,17458.2787
28/09/2018,Holt's Linear Method,19220.97068
29/09/2018,Holt's Linear Method,17119.40717
30/09/2018,Holt's Linear Method,23233.90217
1/10/2018,Holt's Linear Method,16659.95548
2/10/2018,Holt's Linear Method,18354.73154
3/10/2018,Holt's Linear Method,18155.23635
4/10/2018,Holt's Linear Method,15307.68305
5/10/2018,Holt's Linear Method,14658.22588
6/10/2018,Holt's Linear Method,14371.4594
7/10/2018,Holt's Linear Method,13768.67049
8/10/2018,Holt's Linear Method,10532.66382
9/10/2018,Holt's Linear Method,9285.582833
10/10/2018,Holt's Linear Method,9819.462696
11/10/2018,Holt's Linear Method,9983.210332
12/10/2018,Holt's Linear Method,11017.26319
13/10/2018,Holt's Linear Method,11518.19247
14/10/2018,Holt's Linear Method,16319.64136
15/10/2018,Holt's Linear Method,12217.98006
16/10/2018,Holt's Linear Method,12946.5931
17/10/2018,Holt's Linear Method,11785.63594
18/10/2018,Holt's Linear Method,9843.1031
19/10/2018,Holt's Linear Method,10244.72317
20/10/2018,Holt's Linear Method,10743.56368
21/10/2018,Holt's Linear Method,13564.0743
22/10/2018,Holt's Linear Method,11392.92673
23/09/2018,Prophet with Holiday Effect,14820.97571
24/09/2018,Prophet with Holiday Effect,11629.7098
25/09/2018,Prophet with Holiday Effect,11136.65568
26/09/2018,Prophet with Holiday Effect,11574.59313
27/09/2018,Prophet with Holiday Effect,11359.48233
28/09/2018,Prophet with Holiday Effect,11564.76692
29/09/2018,Prophet with Holiday Effect,12185.51399
30/09/2018,Prophet with Holiday Effect,14970.27253
1/10/2018,Prophet with Holiday Effect,11779.00662
2/10/2018,Prophet with Holiday Effect,11285.9525
3/10/2018,Prophet with Holiday Effect,11723.88995
4/10/2018,Prophet with Holiday Effect,11508.77915
5/10/2018,Prophet with Holiday Effect,11714.06374
6/10/2018,Prophet with Holiday Effect,12334.81081
7/10/2018,Prophet with Holiday Effect,15119.56935
8/10/2018,Prophet with Holiday Effect,11928.30344
9/10/2018,Prophet with Holiday Effect,11435.24932
10/10/2018,Prophet with Holiday Effect,11873.18677
11/10/2018,Prophet with Holiday Effect,11658.07597
12/10/2018,Prophet with Holiday Effect,11863.36056
13/10/2018,Prophet with Holiday Effect,12484.10763
14/10/2018,Prophet with Holiday Effect,15268.86617
15/10/2018,Prophet with Holiday Effect,12077.60026
16/10/2018,Prophet with Holiday Effect,11584.54614
17/10/2018,Prophet with Holiday Effect,12022.48359
18/10/2018,Prophet with Holiday Effect,11807.37279
19/10/2018,Prophet with Holiday Effect,12012.65738
20/10/2018,Prophet with Holiday Effect,12633.40445
21/10/2018,Prophet with Holiday Effect,15418.16299
22/10/2018,Prophet with Holiday Effect,12226.89708
23/09/2018,Prophet,15116.30514
24/09/2018,Prophet,12126.00694
25/09/2018,Prophet,11433.92228
26/09/2018,Prophet,11848.92352
27/09/2018,Prophet,11669.13623
28/09/2018,Prophet,11903.90372
29/09/2018,Prophet,12499.79501
30/09/2018,Prophet,15294.20949
1/10/2018,Prophet,12303.9113
2/10/2018,Prophet,11611.82664
3/10/2018,Prophet,12026.82787
4/10/2018,Prophet,11847.04058
5/10/2018,Prophet,12081.80807
6/10/2018,Prophet,12677.69937
7/10/2018,Prophet,15472.11385
8/10/2018,Prophet,12481.81565
9/10/2018,Prophet,11789.73099
10/10/2018,Prophet,12204.73223
11/10/2018,Prophet,12024.94494
12/10/2018,Prophet,12259.71243
13/10/2018,Prophet,12855.60373
14/10/2018,Prophet,15650.01821
15/10/2018,Prophet,12659.72001
16/10/2018,Prophet,11967.63535
17/10/2018,Prophet,12382.63659
18/10/2018,Prophet,12202.8493
19/10/2018,Prophet,12437.61679
20/10/2018,Prophet,13033.50808
