DATE,DATETIME,TIME,HOUR,CELLNAME,VALUE
28/10/2017,10/28/2017 23:00:00,23:00:00,23,Cell_004071,98.3593
28/10/2017,10/28/2017 17:00:00,17:00:00,17,Cell_004071,357.12521
28/10/2017,10/28/2017 16:00:00,16:00:00,16,Cell_004071,185.53228
28/10/2017,10/28/2017 05:00:00,05:00:00,5,Cell_004071,67.86626
28/10/2017,10/28/2017 12:00:00,12:00:00,12,Cell_004071,136.25027
28/10/2017,10/28/2017 20:00:00,20:00:00,20,Cell_004071,61.58707
28/10/2017,10/28/2017 07:00:00,07:00:00,7,Cell_004071,25.76816
28/10/2017,10/28/2017 00:00:00,00:00:00,0,Cell_004071,0.33311
28/10/2017,10/28/2017 19:00:00,19:00:00,19,Cell_004071,330.86088
28/10/2017,10/28/2017 09:00:00,09:00:00,9,Cell_004071,146.46177
28/10/2017,10/28/2017 08:00:00,08:00:00,8,Cell_004071,0.49823
28/10/2017,10/28/2017 01:00:00,01:00:00,1,Cell_004071,3.00046
28/10/2017,10/28/2017 14:00:00,14:00:00,14,Cell_004071,263.05508
28/10/2017,10/28/2017 04:00:00,04:00:00,4,Cell_004071,210.76255
28/10/2017,10/28/2017 22:00:00,22:00:00,22,Cell_004071,70.60064
28/10/2017,10/28/2017 21:00:00,21:00:00,21,Cell_004071,263.92981
28/10/2017,10/28/2017 15:00:00,15:00:00,15,Cell_004071,115.62201
28/10/2017,10/28/2017 18:00:00,18:00:00,18,Cell_004071,618.43569
29/10/2017,10/29/2017 18:00:00,18:00:00,18,Cell_004071,211.78836
29/10/2017,10/29/2017 12:00:00,12:00:00,12,Cell_004071,56.29539
29/10/2017,10/29/2017 10:00:00,10:00:00,10,Cell_004071,221.40153
29/10/2017,10/29/2017 04:00:00,04:00:00,4,Cell_004071,8.80122
29/10/2017,10/29/2017 06:00:00,06:00:00,6,Cell_004071,24.78133
29/10/2017,10/29/2017 16:00:00,16:00:00,16,Cell_004071,7.40369
29/10/2017,10/29/2017 23:00:00,23:00:00,23,Cell_004071,4.16188
29/10/2017,10/29/2017 09:00:00,09:00:00,9,Cell_004071,94.6392
29/10/2017,10/29/2017 14:00:00,14:00:00,14,Cell_004071,11.19109
29/10/2017,10/29/2017 20:00:00,20:00:00,20,Cell_004071,167.34412
29/10/2017,10/29/2017 03:00:00,03:00:00,3,Cell_004071,0.41898
29/10/2017,10/29/2017 11:00:00,11:00:00,11,Cell_004071,566.56455
29/10/2017,10/29/2017 05:00:00,05:00:00,5,Cell_004071,10.25508
29/10/2017,10/29/2017 22:00:00,22:00:00,22,Cell_004071,19.82674
29/10/2017,10/29/2017 00:00:00,00:00:00,0,Cell_004071,55.5647
29/10/2017,10/29/2017 15:00:00,15:00:00,15,Cell_004071,22.42757
29/10/2017,10/29/2017 19:00:00,19:00:00,19,Cell_004071,179.50335
29/10/2017,10/29/2017 17:00:00,17:00:00,17,Cell_004071,16.57999
29/10/2017,10/29/2017 13:00:00,13:00:00,13,Cell_004071,4.04715
29/10/2017,10/29/2017 07:00:00,07:00:00,7,Cell_004071,138.50132
29/10/2017,10/29/2017 01:00:00,01:00:00,1,Cell_004071,31.7334
29/10/2017,10/29/2017 02:00:00,02:00:00,2,Cell_004071,5.83645
29/10/2017,10/29/2017 21:00:00,21:00:00,21,Cell_004071,31.14242
29/10/2017,10/29/2017 08:00:00,08:00:00,8,Cell_004071,116.53398
30/10/2017,10/30/2017 17:00:00,17:00:00,17,Cell_004071,166.95316
30/10/2017,10/30/2017 00:00:00,00:00:00,0,Cell_004071,22.44276
30/10/2017,10/30/2017 19:00:00,19:00:00,19,Cell_004071,423.35379
30/10/2017,10/30/2017 13:00:00,13:00:00,13,Cell_004071,183.26415
30/10/2017,10/30/2017 14:00:00,14:00:00,14,Cell_004071,132.30262
30/10/2017,10/30/2017 03:00:00,03:00:00,3,Cell_004071,0
30/10/2017,10/30/2017 23:00:00,23:00:00,23,Cell_004071,0.06239
30/10/2017,10/30/2017 15:00:00,15:00:00,15,Cell_004071,19.90612
30/10/2017,10/30/2017 12:00:00,12:00:00,12,Cell_004071,237.52404
30/10/2017,10/30/2017 08:00:00,08:00:00,8,Cell_004071,204.36515
30/10/2017,10/30/2017 20:00:00,20:00:00,20,Cell_004071,98.88956
30/10/2017,10/30/2017 16:00:00,16:00:00,16,Cell_004071,314.54118
30/10/2017,10/30/2017 21:00:00,21:00:00,21,Cell_004071,25.21167
30/10/2017,10/30/2017 06:00:00,06:00:00,6,Cell_004071,0.87766
30/10/2017,10/30/2017 10:00:00,10:00:00,10,Cell_004071,104.47178
30/10/2017,10/30/2017 05:00:00,05:00:00,5,Cell_004071,0.97056
30/10/2017,10/30/2017 11:00:00,11:00:00,11,Cell_004071,210.81854
30/10/2017,10/30/2017 01:00:00,01:00:00,1,Cell_004071,0.03577
30/10/2017,10/30/2017 07:00:00,07:00:00,7,Cell_004071,24.95161
30/10/2017,10/30/2017 02:00:00,02:00:00,2,Cell_004071,0.00025
30/10/2017,10/30/2017 22:00:00,22:00:00,22,Cell_004071,3.51004
30/10/2017,10/30/2017 18:00:00,18:00:00,18,Cell_004071,286.89406
30/10/2017,10/30/2017 09:00:00,09:00:00,9,Cell_004071,5.0243
30/10/2017,10/30/2017 04:00:00,04:00:00,4,Cell_004071,0.5069
31/10/2017,10/31/2017 20:00:00,20:00:00,20,Cell_004071,280.11139
31/10/2017,10/31/2017 15:00:00,15:00:00,15,Cell_004071,80.8406
31/10/2017,10/31/2017 10:00:00,10:00:00,10,Cell_004071,139.57988
31/10/2017,10/31/2017 17:00:00,17:00:00,17,Cell_004071,217.24548
31/10/2017,10/31/2017 02:00:00,02:00:00,2,Cell_004071,89.5153
31/10/2017,10/31/2017 09:00:00,09:00:00,9,Cell_004071,25.74605
31/10/2017,10/31/2017 21:00:00,21:00:00,21,Cell_004071,231.26082
31/10/2017,10/31/2017 22:00:00,22:00:00,22,Cell_004071,400.2513
31/10/2017,10/31/2017 06:00:00,06:00:00,6,Cell_004071,32.92318
31/10/2017,10/31/2017 03:00:00,03:00:00,3,Cell_004071,31.59606
31/10/2017,10/31/2017 08:00:00,08:00:00,8,Cell_004071,0.39017
31/10/2017,10/31/2017 12:00:00,12:00:00,12,Cell_004071,11.90181
31/10/2017,10/31/2017 04:00:00,04:00:00,4,Cell_004071,4.2123
31/10/2017,10/31/2017 18:00:00,18:00:00,18,Cell_004071,600.29687
31/10/2017,10/31/2017 05:00:00,05:00:00,5,Cell_004071,0.91337
31/10/2017,10/31/2017 11:00:00,11:00:00,11,Cell_004071,42.93632
31/10/2017,10/31/2017 23:00:00,23:00:00,23,Cell_004071,124.82443
31/10/2017,10/31/2017 14:00:00,14:00:00,14,Cell_004071,109.28543
31/10/2017,10/31/2017 00:00:00,00:00:00,0,Cell_004071,0.00951
31/10/2017,10/31/2017 19:00:00,19:00:00,19,Cell_004071,262.98932
31/10/2017,10/31/2017 01:00:00,01:00:00,1,Cell_004071,60.87124
31/10/2017,10/31/2017 07:00:00,07:00:00,7,Cell_004071,19.09283
31/10/2017,10/31/2017 13:00:00,13:00:00,13,Cell_004071,119.4077
31/10/2017,10/31/2017 16:00:00,16:00:00,16,Cell_004071,4.93903
1/11/2017,11/01/2017 06:00:00,06:00:00,6,Cell_004071,148.57651
1/11/2017,11/01/2017 05:00:00,05:00:00,5,Cell_004071,57.06583
1/11/2017,11/01/2017 01:00:00,01:00:00,1,Cell_004071,0.73198
1/11/2017,11/01/2017 12:00:00,12:00:00,12,Cell_004071,12.56653
1/11/2017,11/01/2017 16:00:00,16:00:00,16,Cell_004071,180.98345
1/11/2017,11/01/2017 08:00:00,08:00:00,8,Cell_004071,133.86301
1/11/2017,11/01/2017 09:00:00,09:00:00,9,Cell_004071,22.39766
1/11/2017,11/01/2017 14:00:00,14:00:00,14,Cell_004071,1021.58774
1/11/2017,11/01/2017 15:00:00,15:00:00,15,Cell_004071,46.38666
1/11/2017,11/01/2017 04:00:00,04:00:00,4,Cell_004071,3.20196
1/11/2017,11/01/2017 07:00:00,07:00:00,7,Cell_004071,105.88685
1/11/2017,11/01/2017 02:00:00,02:00:00,2,Cell_004071,2.08863
1/11/2017,11/01/2017 22:00:00,22:00:00,22,Cell_004071,12.05617
1/11/2017,11/01/2017 18:00:00,18:00:00,18,Cell_004071,66.67258
1/11/2017,11/01/2017 19:00:00,19:00:00,19,Cell_004071,388.72515
1/11/2017,11/01/2017 21:00:00,21:00:00,21,Cell_004071,90.37284
1/11/2017,11/01/2017 10:00:00,10:00:00,10,Cell_004071,114.28664
1/11/2017,11/01/2017 23:00:00,23:00:00,23,Cell_004071,0.41748
1/11/2017,11/01/2017 20:00:00,20:00:00,20,Cell_004071,205.88966
1/11/2017,11/01/2017 13:00:00,13:00:00,13,Cell_004071,489.95568
1/11/2017,11/01/2017 11:00:00,11:00:00,11,Cell_004071,418.66775
1/11/2017,11/01/2017 17:00:00,17:00:00,17,Cell_004071,26.45258
1/11/2017,11/01/2017 03:00:00,03:00:00,3,Cell_004071,0.32068
1/11/2017,11/01/2017 00:00:00,00:00:00,0,Cell_004071,14.07761
2/11/2017,11/02/2017 09:00:00,09:00:00,9,Cell_004071,43.51892
2/11/2017,11/02/2017 07:00:00,07:00:00,7,Cell_004071,24.24997
2/11/2017,11/02/2017 08:00:00,08:00:00,8,Cell_004071,21.2675
2/11/2017,11/02/2017 16:00:00,16:00:00,16,Cell_004071,148.13353
2/11/2017,11/02/2017 12:00:00,12:00:00,12,Cell_004071,111.11149
2/11/2017,11/02/2017 10:00:00,10:00:00,10,Cell_004071,129.07343
2/11/2017,11/02/2017 23:00:00,23:00:00,23,Cell_004071,11.374
2/11/2017,11/02/2017 20:00:00,20:00:00,20,Cell_004071,136.35525
